               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12261,            0.018667,            0.047067,                   0,                   0,                   0,                   0,             0.11357,            0.017207,            0.043274,              0.0964,              0.0004,              0.0004
                   1,             0.11401,            0.021117,            0.045562,          0.00045664,               0.125,            0.000431,          6.1713e-05,             0.10268,            0.020024,            0.041351,            0.091893,          0.00089258,          0.00089258
                   2,             0.10999,            0.023942,            0.042688,           0.0012998,              0.2625,           0.0038406,          0.00090463,            0.095163,            0.023151,            0.039032,            0.087377,           0.0013769,           0.0013769
                   3,             0.10182,            0.025125,            0.040119,           0.0024651,             0.55417,           0.0090212,           0.0023828,            0.088941,            0.023634,            0.038116,            0.082853,            0.001853,            0.001853
                   4,            0.098184,            0.023557,            0.037512,           0.0024395,               0.475,            0.014244,            0.003112,            0.086887,            0.024195,             0.03559,            0.078321,           0.0023208,           0.0023208
                   5,             0.09515,            0.026344,            0.034846,           0.0019556,             0.40833,           0.0080172,           0.0015981,            0.084421,            0.024366,            0.032983,             0.07378,           0.0027804,           0.0027804
                   6,            0.090374,             0.02587,              0.0311,           0.0020995,                 0.5,            0.038594,            0.012419,            0.087037,            0.023644,            0.030334,            0.069232,           0.0032317,           0.0032317
                   7,            0.088127,            0.024007,            0.026916,            0.002771,               0.625,            0.029912,           0.0090883,            0.082449,            0.023392,            0.029327,            0.064675,           0.0036748,           0.0036748
                   8,            0.086686,            0.025582,            0.024323,             0.87407,              0.1875,             0.18022,            0.032626,            0.082859,            0.022155,            0.027069,             0.06011,           0.0041096,           0.0041096
                   9,            0.082276,            0.024841,            0.022779,             0.86913,             0.20833,             0.18022,            0.036828,            0.084494,             0.02219,            0.026654,            0.055536,           0.0045362,           0.0045362
                  10,            0.082128,            0.024809,             0.02022,             0.77902,                0.25,            0.049219,            0.015363,            0.087405,            0.020495,             0.02641,            0.050955,           0.0049545,           0.0049545
                  11,            0.084701,            0.020912,            0.018654,             0.82248,                0.25,             0.23991,            0.089271,             0.09386,             0.01829,            0.025641,            0.046365,           0.0053646,           0.0053646
                  12,            0.085006,            0.023446,            0.016946,             0.91381,                0.25,             0.41105,             0.19679,            0.073961,            0.020743,            0.025293,            0.041766,           0.0057664,           0.0057664
                  13,            0.077844,            0.022697,            0.017216,              0.9734,                0.25,               0.356,             0.16679,            0.076455,            0.019434,            0.023212,             0.03716,             0.00616,             0.00616
                  14,            0.080071,            0.020889,              0.0171,             0.97778,                0.25,             0.27855,            0.080932,             0.07928,            0.018794,            0.022644,            0.032545,           0.0065453,           0.0065453
                  15,            0.077227,            0.022638,            0.014437,             0.97857,                0.25,             0.26213,            0.096722,            0.083423,             0.01734,            0.022034,            0.027922,           0.0069224,           0.0069224
                  16,            0.075067,            0.020848,            0.014673,             0.97814,                0.25,             0.32175,             0.11128,            0.097772,            0.016132,            0.021777,            0.023291,           0.0072912,           0.0072912
                  17,            0.078391,            0.019034,            0.013467,             0.88269,             0.14583,              0.2215,            0.054854,            0.082585,             0.01749,            0.022229,            0.018652,           0.0076518,           0.0076518
                  18,            0.077505,            0.019061,              0.0122,             0.86222,                0.25,             0.15931,            0.053388,            0.082514,            0.016223,             0.02309,            0.014004,           0.0080041,           0.0080041
                  19,            0.076605,            0.020746,            0.011431,             0.64237,             0.27917,             0.11408,            0.032569,            0.092719,            0.015999,             0.02276,           0.0093482,           0.0083482,           0.0083482
                  20,            0.082887,            0.018321,             0.01042,              0.7103,                 0.3,             0.17966,            0.079621,            0.076774,              0.0169,            0.022937,             0.00835,             0.00835,             0.00835
                  21,            0.076311,             0.01857,            0.011074,             0.62574,               0.325,             0.19781,             0.04454,            0.084535,            0.016423,            0.023938,             0.00835,             0.00835,             0.00835
                  22,            0.073258,            0.019688,            0.012345,             0.61543,                0.35,             0.16814,            0.069613,            0.075015,            0.017327,            0.023822,           0.0082675,           0.0082675,           0.0082675
                  23,            0.068717,             0.01971,            0.010583,             0.75793,             0.31463,             0.30448,             0.13781,            0.094692,            0.014062,            0.025427,            0.008185,            0.008185,            0.008185
                  24,            0.074191,            0.016486,           0.0092508,             0.61921,             0.30665,             0.20494,            0.090239,            0.071567,            0.016705,            0.025781,           0.0081025,           0.0081025,           0.0081025
                  25,            0.065178,            0.016783,            0.010148,             0.65749,               0.325,             0.32201,             0.12317,            0.074957,            0.017313,            0.026868,             0.00802,             0.00802,             0.00802
                  26,            0.065094,            0.017765,           0.0078336,             0.16808,             0.50833,             0.26952,            0.077704,            0.071753,            0.018409,            0.028729,           0.0079375,           0.0079375,           0.0079375
                  27,            0.059206,            0.017783,           0.0076215,              0.2074,              0.5875,             0.29237,            0.082388,            0.074799,             0.01712,            0.027316,            0.007855,            0.007855,            0.007855
                  28,            0.069631,            0.016433,              0.0071,             0.37891,             0.69444,             0.49063,             0.20018,             0.07721,            0.016879,            0.026428,           0.0077725,           0.0077725,           0.0077725
                  29,            0.062119,            0.014867,           0.0064759,             0.29006,               0.625,             0.46225,             0.18977,            0.063704,            0.018019,            0.025775,             0.00769,             0.00769,             0.00769
                  30,            0.061082,            0.016518,           0.0066989,             0.35858,                0.65,             0.59931,             0.23206,            0.075993,            0.017039,            0.025531,           0.0076075,           0.0076075,           0.0076075
                  31,            0.056269,            0.015662,           0.0069853,             0.28945,               0.575,             0.40559,             0.12524,              0.0719,            0.018635,             0.02684,            0.007525,            0.007525,            0.007525
                  32,            0.064538,            0.014293,           0.0061616,             0.39371,             0.61465,             0.49866,             0.20023,            0.063566,             0.01906,            0.026099,           0.0074425,           0.0074425,           0.0074425
                  33,            0.058028,             0.01471,           0.0061161,             0.33358,             0.69867,             0.30108,             0.12036,            0.070169,            0.018256,            0.024689,             0.00736,             0.00736,             0.00736
                  34,            0.058514,             0.01461,           0.0057377,             0.29523,               0.675,             0.50692,             0.20622,            0.069885,             0.01788,            0.024533,           0.0072775,           0.0072775,           0.0072775
                  35,            0.055274,            0.014347,           0.0058926,             0.24896,                0.65,             0.40196,             0.18942,            0.061076,            0.017932,            0.022849,            0.007195,            0.007195,            0.007195
                  36,            0.059007,            0.012552,           0.0054594,             0.35526,                 0.7,              0.4852,             0.16006,            0.064999,            0.017632,            0.022272,           0.0071125,           0.0071125,           0.0071125
